STATE,STATENAME,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERSONS,PERMVIT,PERNOTMVIT,COUNTY,CITY,DAY,DAYNAME,MONTH,MONTHNAME,YEAR,DAY_WEEK,DAY_WEEKNAME,HOUR,HOURNAME,MINUTE,MINUTENAME,NHS,NHSNAME,ROUTE,ROUTENAME,TWAY_ID,TWAY_ID2,RUR_URB,RUR_URBNAME,FUNC_SYS,FUNC_SYSNAME,RD_OWNER,RD_OWNERNAME,MILEPT,MILEPTNAME,LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME,SP_JUR,SP_JURNAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,RELJCT1,RELJCT1NAME,RELJCT2,RELJCT2NAME,TYP_INT,TYP_INTNAME,WRK_ZONE,WRK_ZONENAME,REL_ROAD,REL_ROADNAME,LGT_COND,LGT_CONDNAME,WEATHER1,WEATHER1NAME,WEATHER2,WEATHER2NAME,WEATHER,WEATHERNAME,SCH_BUS,SCH_BUSNAME,RAIL,RAILNAME,NOT_HOUR,NOT_HOURNAME,NOT_MIN,NOT_MINNAME,ARR_HOUR,ARR_HOURNAME,ARR_MIN,ARR_MINNAME,HOSP_HR,HOSP_HRNAME,HOSP_MN,HOSP_MNNAME,CF1,CF1NAME,CF2,CF2NAME,CF3,CF3NAME,FATALS,DRUNK_DR
18,Indiana,180172,1,1,0,0,1,1,0,179,400,20,20,4,April,2015,2,Monday,21,9:00pm-9:59pm,9,9,0,This section IS NOT on the NHS,2,U.S. Highway,US-224,,1,Rural,4,Minor Arterial,1,State Highway Agency,0,None,40.82905278,40.82905278,-85.34114722,-85.34114722,0,No Special Jurisdiction,32,Culvert,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
19,Iowa,190065,2,2,0,0,3,3,0,167,0,20,20,4,April,2015,2,Monday,20,8:00pm-8:59pm,42,42,0,This section IS NOT on the NHS,4,County Road,CR-B14 290TH ST,,1,Rural,6,Minor Collector,2,County Highway Agency,0,None,43.22935,43.22935,-96.12932222,-96.12932222,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,20,8:00pm-8:59pm,55,55,21,9:00pm-9:59pm,6,6,21,9:00pm-9:59pm,33,33,0,None,0,None,0,None,1,0
21,Kentucky,210165,1,1,0,0,1,1,0,195,2640,20,20,4,April,2015,2,Monday,22,10:00pm-10:59pm,51,51,0,This section IS NOT on the NHS,3,State Highway,SR-1426,,1,Rural,5,Major Collector,1,State Highway Agency,61,61,37.47777778,37.47777778,-82.51616667,-82.51616667,0,No Special Jurisdiction,25,Concrete Traffic Barrier,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,2,Maintenance,1,On Roadway,3,Dark - Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,22,10:00pm-10:59pm,57,57,22,10:00pm-10:59pm,58,58,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),3,Other Maintenance or Construction-Created Condition,0,None,0,None,1,1
25,Massachusetts,250184,1,1,0,0,1,1,0,5,251,20,20,4,April,2015,2,Monday,18,6:00pm-6:59pm,57,57,0,This section IS NOT on the NHS,8,Other,HATHAWAY ROAD,WILBER AVE,2,Urban,4,Minor Arterial,3,Town or Township Highway Agency,99998,Not Reported,41.6482,41.6482,-70.97022778,-70.97022778,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,3,T-Intersection,0,None,4,On Roadside,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,19,7:00pm-7:59pm,1,1,19,7:00pm-7:59pm,3,3,19,7:00pm-7:59pm,32,32,0,None,0,None,0,None,1,1
29,Missouri,290180,2,2,0,0,2,2,0,159,0,20,20,4,April,2015,2,Monday,17,5:00pm-5:59pm,14,14,1,This section IS ON the NHS,2,U.S. Highway,US-50,CR-NORTH MAPLE WOOD RD,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,202,202,38.69513889,38.69513889,-93.15277778,-93.15277778,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,3,T-Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
29,Missouri,290181,1,1,0,0,1,1,0,147,0,20,20,4,April,2015,2,Monday,23,11:00pm-11:59pm,45,45,0,This section IS NOT on the NHS,3,State Highway,SR-46,,1,Rural,5,Major Collector,1,State Highway Agency,66,66,40.33691667,40.33691667,-95.0565,-95.0565,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
35,New Mexico,350068,3,3,0,0,3,3,0,5,670,20,20,4,April,2015,2,Monday,17,5:00pm-5:59pm,47,47,1,This section IS ON the NHS,2,U.S. Highway,US-380,,1,Rural,3,Principal Arterial - Other,4,City or Municipal Highway Agency,0,None,33.39416667,33.39416667,-104.5011361,-104.50113611,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
36,New York,360193,1,1,0,0,1,1,0,59,3120,20,20,4,April,2015,2,Monday,19,7:00pm-7:59pm,30,30,0,This section IS NOT on the NHS,5,Local Street - Township,S SERVICE RD,,1,Rural,7,Local,3,Town or Township Highway Agency,0,None,40.76802222,40.76802222,-73.70240278,-73.70240278,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,2,Dark - Not Lighted,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,19,7:00pm-7:59pm,32,32,19,7:00pm-7:59pm,34,34,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
36,New York,360196,1,1,0,0,1,1,0,81,4170,20,20,4,April,2015,2,Monday,19,7:00pm-7:59pm,40,40,0,This section IS NOT on the NHS,6,Local Street - Municipality,CROSS BAY BLVD,LIBERTY AVE,2,Urban,7,Local,4,City or Municipal Highway Agency,0,None,40.68029167,40.68029167,-73.84441111,-73.84441111,0,No Special Jurisdiction,21,Bridge Pier or Support,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,7,"Five Point, or More",0,None,4,On Roadside,5,Dusk,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
36,New York,360243,1,1,0,1,1,1,1,103,1337,20,20,4,April,2015,2,Monday,20,8:00pm-8:59pm,21,21,0,This section IS NOT on the NHS,5,Local Street - Township,125 MIDDLE COUNTRY RD,,2,Urban,4,Minor Arterial,3,Town or Township Highway Agency,0,None,40.87296389,40.87296389,-72.98595,-72.98595,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,2,On Shoulder,3,Dark - Lighted,3,Sleet or Hail,0,No Additional Atmospheric Conditions,3,Sleet or Hail,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
37,North Carolina,370268,1,1,0,0,1,1,0,111,0,20,20,4,April,2015,2,Monday,18,6:00pm-6:59pm,52,52,0,This section IS NOT on the NHS,3,State Highway,SR-1235,,1,Rural,3,Principal Arterial - Other,99,Unknown,0,None,35.61327222,35.61327222,-82.1644,-82.1644,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,47,47,19,7:00pm-7:59pm,3,3,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
37,North Carolina,370288,1,1,0,0,1,1,0,163,0,20,20,4,April,2015,2,Monday,17,5:00pm-5:59pm,9,9,0,This section IS NOT on the NHS,3,State Highway,SR-1002,,1,Rural,3,Principal Arterial - Other,99,Unknown,0,None,35.24194167,35.24194167,-78.58072778,-78.58072778,0,No Special Jurisdiction,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,3,3,17,5:00pm-5:59pm,10,10,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
37,North Carolina,370331,3,3,0,0,3,3,0,155,0,20,20,4,April,2015,2,Monday,17,5:00pm-5:59pm,7,7,1,This section IS ON the NHS,1,Interstate,I-74,,1,Rural,1,Interstate,1,State Highway Agency,99999,Unknown,34.73910833,34.73910833,-79.32824444,-79.32824444,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,1,Front-to-Rear,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,5,5,17,5:00pm-5:59pm,15,15,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
45,South Carolina,450225,1,1,0,1,1,1,1,45,1634,20,20,4,April,2015,2,Monday,21,9:00pm-9:59pm,30,30,0,This section IS NOT on the NHS,2,U.S. Highway,US-276,,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,0,None,34.78328333,34.78328333,-82.31202222,-82.31202222,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,99,Unknown EMS Scene Arrival Hour,99,Unknown EMS Scene Arrival Minutes,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
48,Texas,480840,1,1,0,1,1,1,1,497,0,20,20,4,April,2015,2,Monday,21,9:00pm-9:59pm,33,33,0,This section IS NOT on the NHS,3,State Highway,SR-114,FM 718,1,Rural,4,Minor Arterial,98,Not Reported,358,358,33.06596111,33.06596111,-97.51733056,-97.51733056,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,3,Intersection-Related,4,Y-Intersection,0,None,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,99,Unknown,98,Unknown if Transported,0,None,0,None,0,None,1,0
51,Virginia,510160,2,2,0,0,4,4,0,15,0,20,20,4,April,2015,2,Monday,18,6:00pm-6:59pm,11,11,1,This section IS ON the NHS,2,U.S. Highway,US-250,SANGERS LANE,2,Urban,3,Principal Arterial - Other,1,State Highway Agency,603,603,38.12527778,38.12527778,-79.0325,-79.0325,0,No Special Jurisdiction,12,Motor Vehicle In-Transport,6,Angle,0,No,2,Intersection,2,Four-Way Intersection,0,None,1,On Roadway,1,Daylight,1,Clear,10,Cloudy,10,Cloudy,0,No,0000000,Not Applicable,18,6:00pm-6:59pm,12,12,18,6:00pm-6:59pm,21,21,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,2,2
53,Washington,530107,1,1,0,0,1,1,0,41,0,20,20,4,April,2015,2,Monday,19,7:00pm-7:59pm,55,55,0,This section IS NOT on the NHS,3,State Highway,SR-122,,1,Rural,5,Major Collector,1,State Highway Agency,40,40,46.556475,46.556475,-122.5308,-122.5308,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,On Roadside,5,Dusk,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,98,Unknown if Notified,99,Unknown EMS Scene Arrival Hour,98,Unknown if Arrived,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
55,Wisconsin,550117,1,1,0,0,1,1,0,25,2780,20,20,4,April,2015,2,Monday,17,5:00pm-5:59pm,18,18,1,This section IS ON the NHS,1,Interstate,I-39 RAMP,US-12,2,Urban,1,Interstate,1,State Highway Agency,1420,1420,43.04392222,43.04392222,-89.27997222,-89.27997222,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,1,Yes,5,Entrance/Exit Ramp Related,1,Not an Intersection,0,None,8,Gore,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,17,5:00pm-5:59pm,17,17,17,5:00pm-5:59pm,26,26,88,Not Applicable (Not Transported),88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
